Famille,Catégorie,Type,Marque,Emplacement,Code LOCMAT,Nom,N° de Série,Qté,Prix d'achat,Valeur
AUDIOVISUEL,Accessoires,Shutter,,Entrepôt 1 : F2,SHUTTER DMX,Obturateur shutteur Wahlberg pour video projecteur,,1,256.0,350.0
AUDIOVISUEL,Câblage,BNC,,Hors stock,BNC75/05,Câble BNC vidéo 75 Ohms 5m,,0,18.32,18.32
AUDIOVISUEL,Câblage,BNC,,Hors stock,BNC75/10,Câble BNC vidéo 75 Ohms 10m,,0,45.0,45.0
AUDIOVISUEL,Câblage,BNC,,Hors stock,BNC75/30,Câble BNC vidéo 75 Ohms 30m,,0,95.0,80.0
AUDIOVISUEL,Câblage,BNC,,Hors stock,BNC75/50,Câble BNC vidéo 75 Ohms 50m,,0,61.6,61.6
AUDIOVISUEL,Câblage,HDMI,,Entrepôt 1 : F2,HDMI01M,Câble HDMI 1m,,4,3.65,37.62
AUDIOVISUEL,Câblage,HDMI,,Entrepôt 1 : F2,HDMI02M,Câble HDMI 2m,,3,5.15,37.62
AUDIOVISUEL,Câblage,HDMI,,Entrepôt 1 : F2,HDMI03M,Câble HDMI 3m,,4,23.63,33.76
AUDIOVISUEL,Câblage,HDMI,,Entrepôt 1 : F2,HDMI05M,Câble HDMI 5m,,10,26.33,37.62
AUDIOVISUEL,Câblage,HDMI,,Hors stock,HDMI07M,Câble HDMI 7m,,0,14.87,37.62
AUDIOVISUEL,Câblage,HDMI,,Entrepôt 1 : F2,HDMI10M,Câble HDMI 10m,,10,45.08,64.4
AUDIOVISUEL,Câblage,HDMI,,,HDMI20M,Câble HDMI 20m,,2,53.64,75.2
AUDIOVISUEL,Câblage,SDI,,Entrepôt 1 : F2,SDI 4K-70M ,"CABLE SDI 70M,6G/HD/SD-SDI",,4,196.95,328.0
AUDIOVISUEL,Câblage,SDI,,Hors stock,SDI-30M,Câble SDI 30m,,0,119.2,119.2
AUDIOVISUEL,Câblage,SDI,,Entrepôt 1 : F2,SDI-50M,Câble SDI 50m,,0,295.2,295.2
AUDIOVISUEL,Câblage,VGA,,Entrepôt 1 : F2,VGA02M,Câble VGA 2m,,2,3.13,5.5
AUDIOVISUEL,Câblage,VGA,,Entrepôt 1 : F2,VGA05M,Câble VGA 5m,,2,5.38,9.0
AUDIOVISUEL,Câblage,VGA,,Entrepôt 1 : F2,VGA10M,Câble VGA 10m,,6,9.85,16.5
AUDIOVISUEL,Câblage,VGA,,Hors stock,VGA15M,Câble VGA 15m,,0,14.79,25.0
AUDIOVISUEL,Câblage,VGA,,Entrepôt 1 : F3,VGA20M,Câble VGA 20m,,7,20.05,33.5
AUDIOVISUEL,Captation d'image,Lecteurs - decodeurs,,Entrepôt 1 : F3,DVDPRO,Lecteur de DVD V7300D,,1,375.0,487.5
AUDIOVISUEL,Captation d'image,Medias,,,HIPPOCRITTER,MEDIA SERVEUR,,1,5184.0,6220.8
AUDIOVISUEL,Captation d'image,Medias,Extron,Entrepôt 2 : J3,MLCPLUS100,Controleur MédiaLink Plus• EXTRON,,1,440.2,440.2
AUDIOVISUEL,Diffusion d'image,Ecran plat,Samsung,Entrepôt 1 : E3,BARRESON,Barre de son SAMSUNG HW-N400,,4,207.08,269.2
AUDIOVISUEL,Diffusion d'image,Ecran de projection,,Entrepôt 1 : F3,ECRAN0300,"Ecran sur cadre blanc (face/retro) 3,00x2,00m",,1,1306.0,1306.0
AUDIOVISUEL,Diffusion d'image,Ecran de projection,,Entrepôt 1 : F3,ECRAN0400,"Ecran sur cadre blanc (face/retro) 4,00x3,00m",,1,1335.0,1735.5
AUDIOVISUEL,Diffusion d'image,Ecran de projection,,Entrepôt 1 : F3,ECRAN0600,"Ecran sur cadre blanc (face/retro) 6,00x4,50m",,1,2535.75,3622.5
AUDIOVISUEL,Diffusion d'image,Moniteur,,Entrepôt 1 : D3,"ECRANPC21.5"" LED",Ecran PC Full HD 1080p - 1920 x 1080 pixels • IIYAMA,,2,248.54,248.54
AUDIOVISUEL,Diffusion d'image,Moniteur,,Entrepôt 1 : F3,"LCD-18,5""","Ecran 18,5"" (44 CM)",,1,71.21,92.57
AUDIOVISUEL,Diffusion d'image,Moniteur,,Entrepôt 1 : F3,"LCD-22""","ECRAN LCD 22"" (56 CM)",,2,28.72,37.33
AUDIOVISUEL,Diffusion d'image,Ecran plat,,Entrepôt 1 : F3,"LCD-HD-32""","ECRAN LCD HD LED 32"" (81 CM)",,6,219.17,284.92
AUDIOVISUEL,Diffusion d'image,Ecran plat,,,LCD-HD-LED50',"ECRAN LCD HD LED 50"" (127 CM) 1080P",,1,416.0,540.8
AUDIOVISUEL,Diffusion d'image,Ecran plat,,Entrepôt 1 : F1,LCD-HD-LED55',ECRAN LCD HD LED 55' (140CM) 1080P,,4,506.0,607.2
AUDIOVISUEL,Diffusion d'image,Ecran plat,,Entrepôt 1 : F1,LCD-HD-LED65',"ECRAN LED 4K 65"" (165 CM) - 3840 X 2160 P - ULTRA HD - WI-FI - ",8032666800034,1,690.0,897.0
AUDIOVISUEL,Diffusion d'image,Ecran plat,,Entrepôt 1 : F1,LCD-HD-LED65',"ECRAN LED 4K 65"" (165 CM) - 3840 X 2160 P - ULTRA HD - WI-FI - ",8032666800048,1,690.0,897.0
AUDIOVISUEL,Diffusion d'image,Ecran plat,,Entrepôt 1 : F1,LCD-HD-LED65',"ECRAN LED 4K 65"" (165 CM) - 3840 X 2160 P - ULTRA HD - WI-FI - ",8032666800047,1,690.0,897.0
AUDIOVISUEL,Diffusion d'image,Ecran plat,,Entrepôt 1 : F1,LCD-HD-LED65',"ECRAN LED 4K 65"" (165 CM) - 3840 X 2160 P - ULTRA HD - WI-FI - ",8032665800047,1,690.0,897.0
AUDIOVISUEL,Diffusion d'image,Ecran plat,,Entrepôt 1 : F2,PIEDECRAN,PIED DE SOL REGLABLE POUR ECRAN DE 32 A 55',,6,479.0,622.0
AUDIOVISUEL,Diffusion d'image,Ecran plat,,,PLASMA42,"Ecran plasma 42"" PFM 42BE",,1,0.0,0.0
AUDIOVISUEL,Diffusion d'image,Vidéoprojecteur,Panasonic,Entrepôt 1 : F3,PT-MZ880,PANASONIC • Videoprojecteur Laser - Noir WUXGA (1920x1200) 8 000lm ,,1,5188.8,5188.8
AUDIOVISUEL,Diffusion d'image,Ecran plein jour,,Entrepôt 1 : F1,SBUMP100,"Bumper 1m pour écran StarMedia 3,9 suspendu / posé",,10,245.9,245.7
AUDIOVISUEL,Diffusion d'image,Ecran plein jour,,Entrepôt 1 : F1,SBUMP50,"Bumper 1m pour écran StarMedia 3,9 suspendu / posé",,10,119.7,119.7
AUDIOVISUEL,Diffusion d'image,Ecran plein jour,Starway,Hors stock,"SMEDIA3,9-O","Dalle Led Outdoor Starmedia Curve 3,9mm / 50x50cm • STARWAY",,0,490.0,490.0
AUDIOVISUEL,Diffusion d'image,Ecran plein jour,Starway,Entrepôt 1 : F1,"SMEDIA3,9-OUT","Dalle Led Outdoor Starmedia Curve 3,9mm / 50x50cm • STARWAY",,200,490.93,490.93
AUDIOVISUEL,Diffusion d'image,Vidéoprojecteur,Christie,Entrepôt 1 : F3,VIDEO6000,CHRISTIE•DHD600-G videoproj. 6000 lumens DLP 1920x1080,,1,4473.0,5367.6
AUDIOVISUEL,Diffusion d'image,Vidéoprojecteur,,Entrepôt 1 : F3,VIDEOPROJ5000,Videoproj. 5000Lms,,1,2680.0,3216.0
AUDIOVISUEL,Diffusion d'image,Ecran plein jour,,Entrepôt 1 : F1,VX1000,Contrôleur Scaler NOVASTAR All-In-One - HD 1080p,,1,1792.5,1792.5
AUDIOVISUEL,Diffusion d'image,Ecran plein jour,,Entrepôt 1 : F1,VX600,Contrôleur Scaler NOVASTAR All-In-One - HD 1080p,2IVB32B14N1A10036057,1,1267.5,1267.5
AUDIOVISUEL,Diffusion d'image,Ecran plein jour,,Entrepôt 1 : F1,VX600,Contrôleur Scaler NOVASTAR All-In-One - HD 1080p,2IVB32B14N1A10036079,1,1267.5,1267.5
AUDIOVISUEL,Diffusion d'image,Vidéoprojecteur,Christie,Entrepôt 1 : F3,WU12K-M,CHRISTIE•Vidéoprojecteur Roadster WUXGA - 3DLP - 12000 lms,,1,16700.0,41000.0
AUDIOVISUEL,Régie Vidéo,Mélangeur,,Entrepôt 1 : F2,MELANGEUR VIDEO SDI,MELANGEUR 3x SDI- 2 x SDI HDMI/OUT Master Preview/Full HD 1080p,,1,1064.88,1595.0
BACKLINE,Accessoires backline,Banquette piano,,,BANCCLAVIER,Banquette clavier réglable en X,,4,17.6,22.9
BACKLINE,Accessoires backline,Banquette piano,,,BANCPIANO,Banquette piano KB-15BP,,1,59.0,59.0
BACKLINE,Accessoires backline,Tabouret haut,,Hors stock,CHAISE,Chaise pliante+accroche (côté/sol),,0,0.0,0.0
BACKLINE,Accessoires backline,Pédales,Yamaha,Hors stock,PEDSUS,Pédale de sustain•YAMAHA/KORG,,0,0.0,0.0
BACKLINE,Accessoires backline,Stand clavier,,,STANDCLAVIER,Stand clavier KS-1010•RTX,,5,17.6,17.6
BACKLINE,Accessoires backline,Stand guitare,,,STANDGUIT,Stand guitare•HERCULE,,10,35.0,42.0
BACKLINE,Accessoires backline,Stand clavier,,,STANDPIANO,Stand table piano 18953•K&M,,1,80.0,98.0
BACKLINE,Accessoires backline,Tabouret haut,,,TABOURET,Tabouret haut plateau bois avec embase ronde,,3,50.0,50.0
BACKLINE,Accessoires backline,Pédales,Korg,Hors stock,XVP-20,Pédale de volume/d'expression•KORG,,0,159.0,107.2
BACKLINE,Amplis,Ampli GUIT,Fender,,BLUESJUNIORIV,Ampli Blues Junio IV Black•¬†FENDER,B884971,1,607.0,607.5
BACKLINE,Amplis,Ampli GUIT,Fender,,HOTDOD2,Ampli Hot Rod Deluxe•FENDER,,1,875.0,1050.0
BACKLINE,Amplis,Ampli GUIT,Fender,,HOTROD3,Ampli Hot Rod Deluxe III•FENDER,,1,875.0,1050.0
BACKLINE,Amplis,Ampli GUIT,Marshall,,MARS-BAF1960,Baffle 1960A•MARSHALL,,1,739.0,739.0
BACKLINE,Amplis,Ampli GUIT,Marshall,,MARSJCM900,Tête Ampli JCM900•MARSHALL,,1,1119.0,1119.0
BACKLINE,Amplis,Ampli BASSE,Ampeg,,PF-800,Tête ampli transistor • AMPEG,,1,555.0,555.0
BACKLINE,Amplis,Ampli BASSE,Ampeg,,SVTB4,Baffle SVT Classic 4x10•AMPEG,,1,576.0,691.0
BACKLINE,Amplis,Ampli BASSE,Ampeg,,SVTB8,Baffle SVT Classic 8x10•AMPEG,,1,724.0,1199.0
BACKLINE,Amplis,Ampli BASSE,Ampeg,,SVTT,Tête ampli SVT Classic • AMPEG,,1,1030.4,1799.0
BACKLINE,Amplis,Ampli GUIT,Fender,,TWIN,Ampli Twin Reverb 65•FENDER,,1,1499.0,1799.0
BACKLINE,Amplis,Ampli GUIT,Vox,,VOX,Ampli AC30•VOX,,1,654.0,1059.0
BACKLINE,Batteries,Fûts batterie,DW,,CCDW,"Caisse claire DW Collector 14""•DW",,1,177.0,177.0
BACKLINE,Batteries,Fûts batterie,Gretsch,,CCGRESTCH,"Caisse claire Catalina Club 14""x5,5""•GRETSCH",,1,325.0,325.0
BACKLINE,Batteries,Fûts batterie,Pearl,,CCPEARLF,"Caisse claire 14""x6,5"" Free Floating Bronze•PEARL",,1,649.0,649.0
BACKLINE,Batteries,Fûts batterie,,,CCPEARLPIC,"Caisse claire Piccolo 13""x3""•PEARL02",,1,215.2,269.0
BACKLINE,Batteries,Fûts batterie,Pearl,,CCPEARLS,"Caisse claire Pearl Signature 14""•PEARL",,1,200.0,399.0
BACKLINE,Batteries,Cymbales,Sabian,,CHARLEY,"Cymbales charleston 14"" HHX•SABIAN",,2,139.0,498.0
BACKLINE,Batteries,Cymbales,Sabian,,CHIN,"Cymbale Chinoise HHX 20""•SABIAN",,2,150.0,200.0
BACKLINE,Batteries,Cymbales,Sabian,,CRASH14,"Cymbale Crash 14""•SABIAN",,2,114.48,185.0
BACKLINE,Batteries,Cymbales,Sabian,,CRASH15,"Cymbale Crash 15""•SABIAN",,2,114.48,185.0
BACKLINE,Batteries,Cymbales,Sabian,,CRASH16,"Cymbale Crash 16"" •SABIAN",,2,160.29,185.0
BACKLINE,Batteries,Cymbales,Sabian,,CRASH18,"Cymbale Crash 18"" •SABIAN",,2,148.86,185.0
BACKLINE,Batteries,Cymbales,Sabian,,CRASH19,"Cymbale Crash 19"" •SABIAN",,2,160.0,185.0
BACKLINE,Batteries,Accesoires batteries,Pearl,,GC2PEARL,Double pédale grosse caisse 2002C-E•PEARL,,1,389.0,389.0
BACKLINE,Batteries,Fûts batterie,DW,,GCDW22,"Grosse caisse DW Collector 22""•DW",,1,777.0,777.0
BACKLINE,Batteries,Fûts batterie,Pearl,,GCPEARL18,"Grosse Caisse PEARL MASTERS JAZZ 18""",,1,499.2,648.96
BACKLINE,Batteries,Fûts batterie,Pearl,,GCPEARL20,"Grosse Caisse PEARL MASTERS JAZZ 20""",,1,499.2,648.2
BACKLINE,Batteries,Fûts batterie,Pearl,,GCPEARL22,"Grosse caisse Pearl Référence 22""•PEARL",,1,777.0,777.0
BACKLINE,Batteries,Accesoires batteries,Pearl,,PCCPEARL,Pied de caisse claire•PEARL,,4,111.2,139.0
BACKLINE,Batteries,Accesoires batteries,Pearl,,PCPEARL,Pédale de charleston H2000•PEARL,,2,289.0,289.0
BACKLINE,Batteries,Accesoires batteries,DW,,PGCDW,Pédale grosse caisse DW5000•DW,,1,186.4,233.0
BACKLINE,Batteries,Accesoires batteries,Pearl,,PGCPEARL,Pédale grosse caisse 2000C-E•PEARL,,2,679.0,187.9
BACKLINE,Batteries,Accesoires batteries,Pearl,,PPCPEARL,Pied perche cymbales•PEARL,,10,103.2,129.0
BACKLINE,Batteries,Accesoires batteries,Pearl,,PPCPEARLSET,Set de 3 pieds perche cymbales•PEARL,,1,350.0,350.0
BACKLINE,Batteries,Cymbales,Sabian,,RIDEJ,"Cymbale Ride HHX Manhattan Jazz avec rivets 20""•SABIAN",,2,150.0,389.0
BACKLINE,Batteries,Cymbales,Sabian,,RIDES,"Cymbale Ride 20""•SABIAN",,1,150.0,200.0
BACKLINE,Batteries,Cymbales,,,RIDEU,"Cymbale Ride 20""•UFIP",,1,150.0,200.0
BACKLINE,Batteries,Cymbales,Paiste,,SPLASH10P,"Cymbale Splash 10""•PAISTE",,1,100.0,170.0
BACKLINE,Batteries,Cymbales,Sabian,,SPLASH10S,"Cymbale Splash 10""•SABIAN",,1,100.0,170.0
BACKLINE,Batteries,Accesoires batteries,,,TABGIB1,Tabouret batterie motorisé•GIBRALTAR,,1,100.0,150.0
BACKLINE,Batteries,Accesoires batteries,,,TABGIB2,Tabouret batterie•GIBRALTAR,,3,135.2,169.0
BACKLINE,Batteries,Fûts batterie,DW,,TBDW14,"Tom basse DW Collector 14""•DW",,1,274.75,400.0
BACKLINE,Batteries,Fûts batterie,DW,E3,TBDW16,"Tom basse DW Collector 16""•DW",,1,274.75,450.0
BACKLINE,Batteries,Fûts batterie,Pearl,E3,TBPEARL14,"Tom basse Pearl Référence 14""•PEARL",,1,150.0,350.0
BACKLINE,Batteries,Fûts batterie,Pearl,E3,TBPEARL16,"Tom basse Pearl Référence 16""•PEARL",,1,274.75,400.0
BACKLINE,Batteries,Fûts batterie,Pearl,E3,TBPEARLJAZZ14,"Tom Basse PEARL MASTERS JAZZ 14""",,1,206.0,250.0
BACKLINE,Batteries,Fûts batterie,Pearl,E3,TBPEARLJAZZ16,"Tom Basse PEARL MASTERS JAZZ 16""",,1,274.0,328.0
BACKLINE,Batteries,Fûts batterie,DW,E3,TDW10,"Tom DW Collector 10""•DW",,1,150.0,200.0
BACKLINE,Batteries,Fûts batterie,DW,E3,TDW12,"Tom DW Collector 12""•DW",,1,150.0,350.0
BACKLINE,Batteries,Fûts batterie,Pearl,E3,TPEARL10,"Tom Pearl Référence 10""•PEARL",,1,150.0,200.0
BACKLINE,Batteries,Fûts batterie,Pearl,E3,TPEARL12,"Tom Pearl Référence 12""•PEARL",,1,150.0,200.0
BACKLINE,Batteries,Fûts batterie,Pearl,E3,TPEARLJAZZ10,"Tom PEARL MASTERS JAZZ 10""",,1,206.0,250.0
BACKLINE,Batteries,Fûts batterie,Pearl,E3,TPEARLJAZZ12,"Tom PEARL MASTERS JAZZ 12""",,1,206.0,250.0
BACKLINE,Batteries,Accesoires batteries,,E3,VIBREUR,Vibreur 50W,,0,0.0,0.0
BACKLINE,Cablage,Jack instruments,,E3,JACK10,Jack instruments 10m•NEUTRICK,,10,22.54,30.06
BACKLINE,Cablage,Jack instruments,,E3,JACK3,Jack instruments 3m•NEUTRICK,,10,18.62,24.83
BACKLINE,Cablage,Jack instruments,,E3,JACK5,Jack instruments 5m•NEUTRICK,,10,19.92,26.57
BACKLINE,Cablage,Jack instruments,,E3,JACK6,Jack instruments (coupe son) 6m•NEUTRICK,,10,32.0,38.4
BACKLINE,Instruments,Guitares,,E3,GTR-STD4,Stand pliable pour 4 guitares•GATOR,,1,211.05,340.0
BACKLINE,Instruments,Claviers,Yamaha,E3,MOTIF6-,Synthé Motif XF 7•YAMAHA,,1,1824.75,2433.0
BACKLINE,Instruments,Claviers,Nord,E3,NORD2-,Piano Nord Stage 2 EX 88•CLAVIA,,1,2052.0,2462.0
BACKLINE,Instruments,Claviers,Nord,E3,NORDELEC-,Synthé Nord Electro 5D 61•CLAVIA,,1,1111.0,1799.0
BACKLINE,Instruments,Claviers,Roland,E3,RD800-,Piano RD-800•ROLAND,,1,1740.83,2099.0
BACKLINE,Instruments,Claviers,Korg,E3,TRITON-,Synthé Triton Pro 76•KORG,,1,700.0,700.0
BACKLINE,Percussions,Accessoires percus,,E3,BLOCKPERCUS,Set de 2 jam Block+tambourin+support•LP,,1,200.0,200.0
BACKLINE,Percussions,Bongos,,E3,BONGO,"Set 2 bongos Matador 7 1/4"" et 8 5/8""•LP",,1,109.0,130.8
BACKLINE,Percussions,Accessoires percus,,E3,CAJON,Cajon ajustable•LP,,1,129.5,162.0
BACKLINE,Percussions,Accessoires percus,,E3,CHIMES,Chimes 25 tubes doublés + pied•LP02,,1,94.4,166.0
BACKLINE,Percussions,Accessoires percus,,E3,CLOCHE,Set de 4 cloches salsa/chacha (acier)•LP,,1,26.4,50.0
BACKLINE,Percussions,Congas,,E3,CONGA,"Congas Matador 11"" 3/4•LP",,1,278.0,425.0
BACKLINE,Percussions,Congas,,E3,QUINTO,"Quinto Matador 11""•LP",,1,273.0,327.0
BACKLINE,Percussions,Accessoires percus,,Hors-Stock,SHAKER,Set de 2 shakers twist plastic/2 rock/acier•LP,,1,80.0,100.0
BACKLINE,Percussions,Congas,,E3,STANDCB,Stand congas basket M294•LP,,3,100.0,126.0
BACKLINE,Percussions,Congas,,E3,STANDCR,Stand congas roulettes LP636•LP,,3,189.0,189.0
BACKLINE,Percussions,Accessoires percus,,E3,TABLEPERCU,Table percus LP521•LP,,1,141.0,177.0
BACKLINE,Percussions,Timbales,,E3,TIMBAL,"Set 2 timbales Tito Puente 14"", 15"" + pied•LP",,1,511.0,511.0
BACKLINE,Percussions,Congas,,E3,TUMBA,"Tumba Matador 12"" 1/2•LP",,1,350.0,521.0
BACKLINE,Pupitres,Pupitre musiciens,,E3,LAMPEPUP,Lampe col de cygne pour pupitre•MIGHTYBRIGHT,,14,25.0,25.0
BACKLINE,Pupitres,Pupitre musiciens,,E3,PUPITREMUS,Pupitre pour musicien•RTX,,30,35.0,42.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 125A,,Entrepôt 1 : A5,125A-1,Armoire P17 125A -> 2x63A / 6x32AT / 1x32AM / 3xPC16,,1,3228.0,3873.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 125A,,Entrepôt 1 : A5,125A-2,Armoire P17 125A -> 2x63A / 3x32AT / 1x32AM / 1xPC16,,1,3528.0,4233.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 125A,,,125A-3,Armoire P17 125A -> 3x63A / 1x32AT / 3x32AM / 3xPC16,,1,4235.66,4235.66
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 125A,,Entrepôt 1 : A5,125A-4,Armoire P17 125A -> 2x63A / 4x32AT / 12xPC16,,2,3258.2,4235.66
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 125A,,,125A-5,Armoire P17 125A Tri+30mA -> 2x63A  Tri/ 4x32A Tri / 6xPC16,,2,3113.46,4447.8
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 125A,,,125A-6,Armoire P17 125A -> 6x63A / 4x32AT / 3xPC16A,,2,2985.0,2985.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 250A,Powerlock,Entrepôt 1 : A5,250A-1,Armoire Powerlock -> 2x125A / 4x63A /3x32AT / 2x32AM,,1,5986.0,7483.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 32A,,Entrepôt 1 : A5,32A-1,Armoire P17 32A -> 3x32AM / 6xPC16,,1,361.32,361.32
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 32A,,Entrepôt 1 : A5,32A-2,Armoire P17 32A -> 1x 32AT / 3x32AM / 6xPC16 ,,1,718.0,958.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 32A,,Entrepôt 1 : A5,32A-3,Sabot de distribution 32A T-> 6 x PC16A,,2,209.68,299.55
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 32A,,Entrepôt 1 : A5,32A-4,Sabot de distribution 32A T-> 2 x PC16A / 2 x P17 32AM,,1,277.94,361.32
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 32A,,,32A-5-HOR,Armoire P17 32A avec horloge,,2,0.0,0.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 400A,Powerlock,Entrepôt 1 : A1,400A-1,Armoire Powerlock -> 4x125A / 8x63A /2x32AT,,1,5986.0,7483.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 63A,,Entrepôt 1 : A5,63A-1,Armoire P17 63A -> 2x32AT / 6xPC16,,1,2034.37,2034.37
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 63A,,Entrepôt 1 : A5,63A-2,Armoire P17 63A -> 3x32AT / 1x32AM / 3xPC16 / 2xSocapex,,1,1286.25,1715.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 63A,,Entrepôt 1 : A5,63A-3,Armoire P17 63A -> 3x32AT / 3xPC16,,1,1286.0,1715.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 63A,,Hors stock,63A-4,Armoire P17 63A -> 3x32AT ,,0,1286.0,1715.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 63A,,Entrepôt 1 : A5,63A-5,Armoire P17 63A -> 4x32AT ,,12,569.0,739.7
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 63A,,Entrepôt 1 : A5,63A-6-HOR,Armoire P17 63A avec horloge,,1,1715.0,1715.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Armoires 800A,,Hors stock,800A,Armoire de distribution 800amp ,,0,0.0,0.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,CM1,,Entrepôt 1 : A5,CM1,Boîtier de distribution P17 32AM -> 4 x PC16A,,27,196.96,256.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,CTA / CT1,,Entrepôt 1 : A5,CT1,Boîtier de distribution P17 32AT -> 6 x PC16A,,4,224.0,299.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,CTA / CT1,,Entrepôt 1 : A5,CTA,Boîtier de distribution P17 32AT -> 2 x P17 32AM / 2 x PC16,,6,208.35,208.35
DISTRIBUTION ELECTRIQUE,Armoire de distribution,CTA / CT1,,Entrepôt 1 : A5,CTA-2,Boîtier de distribution P17 32AT -> 3 x P17 32AM ,,6,150.0,200.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Divisionnaire,,Entrepôt 1 : A5,DIV 125/63,Armoire divisionnaire 1 x P17 125A -> 2 x P17 63A,,3,1297.0,1730.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Divisionnaire,,Entrepôt 1 : A5,DIV 63/32,Armoire divisionnaire 1 x P17 63A -> 2 x P17 32A,,1,720.75,961.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Divisionnaire,,,FISCHERAPMS-161AA,Chargeur rackable 1 U pour16 piles AA,,11,444.87,444.87
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Divisionnaire,,,FISCHERAPMS-AA,ACCUMULATEUR aa lr06 2850mAh•FISCHER AMPS,,186,3.17,4.14
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Rackscan,,Entrepôt 1 : A1,RACKSCAN12,RACK SCANN 12 x10A,,19,332.5,399.0
DISTRIBUTION ELECTRIQUE,Armoire de distribution,Rackscan,,Entrepôt 1 : A1,RACKSCAN18-1,armoire de distribution P17 63A -> x 18 PC16A,,4,1321.0,1321.0
